Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
52,Analytic,1,15,13,46,0.0,1.0,63,0.0,23,14.0,5.0,8,7.0,110,47,0.0,3.0,11,0.0,4.0,1.0,3.0,359,1.0,4.0,0.0,0.0,7.0,60.0,48,4.0,4.0,25,28,7.0,3.0,30,1.0,3.0,0.0,2.0,44,21,43,74,110,6,102,13,121,2.0,2.0,9.0,2.0,11.0,42,68,7.0,1.0,18,53,2.0,1.0,0.0
53,Analytic,1,8,6,57,0.0,2.0,66,0.0,25,4.0,1.0,9,1.0,116,47,0.0,7.0,9,0.0,10.0,1.0,3.0,342,0.0,1.0,3.0,0.0,9.0,55.0,54,1.0,1.0,33,24,13.0,2.0,15,1.0,3.0,0.0,2.0,35,17,54,72,99,12,96,16,95,1.0,1.0,2.0,1.0,1.0,75,53,7.0,10.0,24,51,6.0,2.0,0.0
54,Analytic,1,19,18,60,1.0,4.0,54,0.0,31,7.0,3.0,13,3.0,125,52,0.0,4.0,6,0.0,3.0,0.0,5.0,353,2.0,3.0,0.0,1.0,1.0,29.0,68,1.0,2.0,27,26,10.0,1.0,25,1.0,5.0,0.0,3.0,46,13,55,69,102,9,95,18,94,2.0,0.0,6.0,1.0,6.0,72,45,4.0,3.0,23,60,31.0,7.0,0.0
55,Analytic,1,9,20,42,4.0,4.0,59,0.0,21,4.0,1.0,6,3.0,104,45,0.0,5.0,10,0.0,4.0,1.0,0.0,352,2.0,1.0,3.0,0.0,5.0,67.0,35,2.0,3.0,39,23,7.0,4.0,19,2.0,11.0,0.0,3.0,27,18,27,72,110,6,95,15,128,1.0,4.0,5.0,0.0,0.0,17,74,9.0,4.0,30,41,1.0,10.0,0.0
56,Analytic,1,8,17,41,0.0,1.0,57,0.0,35,11.0,0.0,9,5.0,113,42,2.0,4.0,7,0.0,5.0,1.0,6.0,346,1.0,5.0,7.0,2.0,6.0,34.0,54,6.0,3.0,23,35,15.0,1.0,16,0.0,1.0,0.0,2.0,42,23,40,60,103,7,95,12,103,3.0,0.0,3.0,0.0,4.0,72,53,5.0,4.0,33,53,18.0,4.0,0.0
57,Analytic,1,11,22,33,0.0,1.0,58,0.0,28,4.0,2.0,7,4.0,105,51,0.0,7.0,4,0.0,4.0,0.0,0.0,377,4.0,1.0,5.0,0.0,3.0,65.0,47,1.0,1.0,26,27,8.0,3.0,16,2.0,7.0,0.0,5.0,29,16,25,76,115,8,103,9,118,0.0,6.0,3.0,0.0,0.0,33,69,8.0,4.0,28,45,7.0,5.0,0.0
58,Analytic,1,16,20,41,7.0,4.0,58,0.0,27,1.0,0.0,12,3.0,114,53,0.0,3.0,10,0.0,6.0,1.0,1.0,352,3.0,0.0,1.0,1.0,4.0,59.0,46,0.0,3.0,32,33,4.0,3.0,16,3.0,13.0,1.0,2.0,31,14,28,68,89,10,101,17,79,0.0,0.0,1.0,1.0,0.0,39,37,17.0,9.0,25,47,0.0,13.0,0.0
59,Analytic,1,19,20,59,0.0,7.0,41,0.0,23,7.0,2.0,8,9.0,103,42,0.0,3.0,5,0.0,6.0,0.0,0.0,312,0.0,1.0,1.0,0.0,12.0,55.0,47,2.0,1.0,24,33,9.0,3.0,12,1.0,10.0,0.0,1.0,30,16,49,65,89,14,98,16,91,1.0,2.0,4.0,2.0,0.0,53,48,6.0,4.0,30,46,6.0,12.0,0.0
60,Analytic,1,38,17,48,3.0,5.0,40,0.0,22,5.0,2.0,3,6.0,96,44,0.0,4.0,2,0.0,4.0,2.0,0.0,323,4.0,2.0,2.0,0.0,3.0,63.0,41,0.0,9.0,28,21,12.0,2.0,20,0.0,9.0,0.0,4.0,32,8,35,85,94,9,106,9,77,1.0,1.0,0.0,2.0,0.0,59,29,6.0,1.0,28,46,21.0,45.0,0.0
61,Analytic,1,12,8,48,0.0,0.0,50,0.0,27,17.0,1.0,5,7.0,114,50,0.0,2.0,7,0.0,3.0,0.0,4.0,341,1.0,7.0,6.0,0.0,8.0,37.0,70,7.0,2.0,18,24,16.0,4.0,26,0.0,0.0,0.0,3.0,31,16,48,65,114,13,89,12,115,4.0,0.0,2.0,3.0,16.0,67,57,3.0,0.0,29,47,12.0,8.0,0.0
62,Analytic,1,12,6,41,4.0,4.0,56,0.0,21,10.0,2.0,4,1.0,124,40,1.0,3.0,2,0.0,5.0,0.0,1.0,346,1.0,1.0,3.0,0.0,3.0,65.0,62,6.0,5.0,39,27,6.0,3.0,31,1.0,9.0,0.0,4.0,31,20,31,69,118,9,96,12,131,0.0,1.0,5.0,2.0,0.0,21,67,10.0,0.0,29,47,4.0,6.0,0.0
63,Analytic,1,14,15,62,4.0,12.0,53,0.0,30,1.0,0.0,10,6.0,136,53,0.0,5.0,14,0.0,3.0,0.0,1.0,355,6.0,1.0,7.0,1.0,9.0,65.0,41,0.0,4.0,43,31,5.0,0.0,13,6.0,20.0,0.0,1.0,25,14,42,70,94,13,101,13,73,1.0,4.0,0.0,0.0,0.0,53,35,22.0,5.0,25,49,0.0,3.0,0.0
