Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
97,Creative,1,9,19,46,4.0,3,59,0.0,20,13.0,3.0,8,8,112,40,0.0,4.0,9,0.0,6,0.0,2.0,349,0.0,6.0,3,1.0,3,0.0,40,2.0,2.0,34,25,8.0,3.0,14,3.0,13,0.0,3.0,39,22,26,67,118,5,92,9,106,2.0,2.0,9.0,2.0,61.0,87,62,0.0,9,6.0,26,46,0.0,7,0.0
98,Creative,1,12,15,48,2.0,4,65,1.0,21,10.0,7.0,7,3,127,45,0.0,12.0,14,0.0,11,0.0,4.0,379,0.0,2.0,12,4.0,5,63.0,45,1.0,5.0,37,32,7.0,1.0,12,2.0,10,0.0,1.0,33,32,37,81,120,13,113,12,106,0.0,5.0,9.0,0.0,5.0,60,64,0.0,9,2.0,28,53,10.0,5,1.0
99,Creative,1,20,10,51,0.0,6,45,0.0,23,13.0,2.0,11,8,119,45,0.0,1.0,6,0.0,4,0.0,3.0,331,2.0,8.0,2,1.0,6,56.0,55,2.0,4.0,27,30,10.0,2.0,27,1.0,7,0.0,3.0,26,18,41,70,96,13,100,17,119,2.0,1.0,3.0,1.0,0.0,50,59,0.0,7,6.0,32,45,8.0,4,0.0
100,Creative,1,19,17,47,1.0,3,63,0.0,21,6.0,2.0,11,6,103,37,0.0,4.0,1,0.0,3,2.0,1.0,334,1.0,2.0,3,0.0,9,0.0,38,1.0,4.0,28,22,6.0,2.0,15,1.0,6,0.0,5.0,37,19,41,67,109,7,89,12,109,1.0,1.0,11.0,1.0,58.0,104,67,0.0,10,7.0,29,50,2.0,7,0.0
101,Creative,1,11,14,50,3.0,5,54,0.0,21,17.0,5.0,4,3,99,42,0.0,6.0,10,0.0,7,3.0,3.0,343,2.0,6.0,2,0.0,5,64.0,42,4.0,3.0,28,30,7.0,2.0,13,2.0,16,0.0,3.0,33,18,34,77,104,8,107,11,92,2.0,8.0,5.0,2.0,2.0,41,51,0.0,10,5.0,30,48,6.0,6,0.0
102,Creative,1,13,8,43,1.0,7,59,0.0,15,7.0,2.0,6,11,124,42,0.0,2.0,7,1.0,1,0.0,2.0,350,1.0,4.0,4,1.0,4,55.0,61,1.0,5.0,24,31,21.0,2.0,26,1.0,9,0.0,4.0,27,15,34,67,120,7,98,16,131,6.0,1.0,1.0,0.0,0.0,39,62,0.0,10,2.0,37,37,10.0,5,0.0
103,Creative,1,17,23,60,4.0,6,39,1.0,36,8.0,6.0,1,6,101,47,0.0,11.0,9,0.0,4,0.0,2.0,381,4.0,2.0,1,0.0,7,71.0,43,0.0,4.0,24,29,4.0,3.0,10,1.0,14,0.0,5.0,29,14,46,92,114,20,121,9,90,1.0,4.0,6.0,0.0,16.0,59,46,0.0,12,0.0,33,64,5.0,18,0.0
104,Creative,1,13,20,50,3.0,5,60,0.0,25,8.0,4.0,8,7,138,49,1.0,8.0,17,0.0,7,2.0,0.0,400,0.0,4.0,5,3.0,6,84.0,40,0.0,7.0,50,23,5.0,2.0,16,8.0,15,1.0,1.0,38,21,35,89,125,12,112,11,131,0.0,3.0,4.0,0.0,0.0,32,84,0.0,10,5.0,31,58,0.0,5,0.0
105,Creative,1,18,14,48,2.0,4,60,0.0,29,12.0,2.0,8,5,127,48,0.0,11.0,13,1.0,9,1.0,2.0,364,2.0,2.0,4,2.0,5,37.0,47,6.0,3.0,32,23,24.0,5.0,11,3.0,9,0.0,5.0,42,18,39,81,106,12,104,12,98,3.0,4.0,3.0,2.0,14.0,77,62,0.0,16,7.0,26,63,23.0,11,0.0
106,Creative,1,10,20,52,5.0,5,51,0.0,32,17.0,6.0,7,3,127,58,1.0,8.0,13,0.0,5,0.0,6.0,407,3.0,6.0,5,0.0,2,64.0,53,5.0,5.0,24,19,17.0,5.0,17,3.0,17,0.0,3.0,43,22,34,101,122,10,120,17,117,1.0,4.0,6.0,0.0,18.0,77,61,0.0,18,5.0,35,59,13.0,10,1.0
107,Creative,1,11,17,51,9.0,10,79,0.0,41,8.0,6.0,5,6,106,38,0.0,5.0,6,0.0,4,1.0,1.0,384,2.0,0.0,10,1.0,7,50.0,44,1.0,4.0,32,39,2.0,3.0,11,3.0,22,1.0,2.0,50,24,29,69,95,5,108,16,83,4.0,2.0,7.0,1.0,1.0,45,57,0.0,11,8.0,17,60,10.0,4,0.0
